model,score,width_x,depth_x,dataset,params
resdepth,0.8221179088648969,0.5,1.0,mura,370369
resdepth,0.8240066044429889,0.5,1.0,mura,370369
resdepth,0.8216668431642487,0.5,1.0,mura,370369
resdepth,0.8183620568866471,0.5,1.0,mura,370369
resdepth,0.8191000495645402,0.5,1.0,mura,370369
resdepth,0.8181317738568447,0.5,1.0,mura,370369
resdepth,0.8169906093033414,0.5,1.0,mura,370369
resdepth,0.8252042610404385,0.5,1.0,mura,370369
resdepth,0.8404053926142281,1.0,3.0,mura,710145
resdepth,0.8401136889508982,1.0,3.0,mura,710145
resdepth,0.8324379770162902,1.0,3.0,mura,710145
resdepth,0.8300304878048779,1.0,3.0,mura,710145
resdepth,0.8439971372338522,1.0,3.0,mura,710145
resdepth,0.8393183673744797,1.0,3.0,mura,710145
resdepth,0.8283761732657244,1.0,3.0,mura,710145
resdepth,0.8394886560743773,1.0,3.0,mura,710145
resdepth,0.8231758798818669,1.0,3.0,mura,710145
resdepth,0.8446385374945473,1.0,3.0,mura,710145
resdepth,0.8423421996487264,1.0,3.0,mura,710145
resdepth,0.8262302221968356,1.0,3.0,mura,710145
resdepth,0.8422061313447892,1.0,3.0,mura,710145
resdepth,0.8203207041397225,1.0,3.0,mura,710145
resdepth,0.8325687834815624,1.0,3.0,mura,710145
resdepth,0.8342960884634428,1.0,5.0,mura,636353
resdepth,0.8260161340366119,1.0,5.0,mura,636353
resdepth,0.8208511529792522,1.0,5.0,mura,636353
resdepth,0.8191041592605759,1.0,5.0,mura,636353
resdepth,0.8222909262868281,1.0,5.0,mura,636353
resdepth,0.8243925549915398,1.0,5.0,mura,636353
